objectid,filename,title,creator,description,subject,format,language,rights,age-when-created,date-of-creation,years-used,worktype,extent (size),color,material,relation
coll001,pink_pencil_silver_swirls.png,Pink Pencil with Silver Swirls,unknown manufacturer,A sharpened wooden pencil decorated with pink paint and silver foil,Writing materials and instruments;pencils,image/png,,Owned by Hemlock Stanier,,0,,wooden pencil ,4.75x0.375x0.375,pink; silver; brown; multi,wood; paint; foil; metal; eraser;graphite,
coll002,my_jrnl_is_pink.pdf,My Jrnl is Pink; My Journal is Pink,"Stanier, Hemlock",An illustrated manuscript journal entry on lined notebook paper contained within Spiral Notebook with Pink Foil Designs ,Children’s writings; children’s diaries,application/pdf,eng,Owned by Hemlock Stanier,5,2008,2008;2009,journal entry;drawing;manuscript,11x8.5,pink;white;blue;red,paper;ink;crayon,Spiral Notebook with Pink Foil Designs
coll003,sandy_book1.pdf,Sandy book 1,"Stanier, Hemlock",An illustrated manuscript held together by staples. 12 numbered pages.,Fiction;Children’s Stories;Practical Jokes;Friendship;Sleepovers,application/pdf,eng,Owned by Hemlock Stanier,7,2010,2010,manuscript;drawing;hand-bound pamphlet,11x8.5x0.25,pink;yellow;green;white;orange;multi,paper;metal;graphite;felt tip marker,
coll004,spiral_notebook_with_pink_foil_designs.png,Spiral Notebook with Pink Foil Designs,Continental Accessory Corp. ,A wide-ruled 70-sheet spiral notebook with a pink foil cover,"notebooks, sketchbooks etc.;children's diaries ",image/png,,Owned by Hemlock Stanier,,2008,2008;2009,paperback notebook,11x8.5x0.5,pink;white,paper;plastic;foil,My Jrnl is Pink; My Journal is Pink
coll005,spiral_notebook_with_dalmation_puppy.png,Spiral Notebook with Dalmation Puppy,"Innovative Designs, LLC ",A wide-ruled 70-sheet spiral notebook. The cover is a photo of a dalmation puppy wearing pink ribbons on its ears.  ,"notebooks, sketchbooks etc.;children's diaries",image/png,,Owned by Hemlock Stanier,,0,2009;2010,paperback notebook,10.5x8x0.5,pink;white;purple;black;multi,paper;plastic ,
coll006,spiral_notebook_with_butterflies_and_hearts.png,Spiral Notebook with Butterflies and Hearts,"Innovative Designs, LLC ",A wide-ruled 70-sheet spiral notebook. The cover has multi-colored butterfly and heart designs ,"notebooks, sketchbooks etc.;children's diaries ",image/png,,Owned by Hemlock Stanier,,0,2010;2011,paperback notebook,10.5x8x0.5,red;white;purple;pink;blue;green;black;multi,paper;metal ,
coll007,spiral_notebook_with_puppy_wearing_hat.png,Spiral Notebook with Puppy Wearing Hat,"Innovative Designs, LLC ",A wide-ruled 70-sheet spiral notebook. The is a photo of a dog wearing a cap. ,"notebooks, sketchbooks etc.;children's diaries ",image/png,,Dissero Brands Limited;Owned By Hemlock Stanier,,2010,2010,paperback notebook,10.5x8x0.5,white;brown;black;blue;multi,paper;plastic;tape,
coll008,pencil_with_pink_blue_and_purple_swirls.png,"Pencil with Pink, Blue and Purple Swirls",unknown manufacturer,"A sharpened wooden pencil decorated with pink, blue and purple swirls",Writing materials and instruments;pencils,image/png,,Owned by Hemlock Stanier,,0,,wooden pencil ,5x0.375x0.375,blue;purple;pink;multi,wood;metal;eraser;plastic;graphite,
coll009,maggie_and_sandy_book2.pdf,Maggie and Sandy book 2,"Stanier, Hemlock",An illustrated manuscript contained within Spiral Notebook with Butterflies and Hearts.,Fiction;Children’s Stories;Friendship;Beach balls,application/pdf,eng,Owned by Hemlock Stanier,,,,manuscript;drawing,10.5x8,green;grey;purple;blue;pink;orange;yellow;brown;black;white;multi,paper;ink;graphite;felt tip marker,Spiral Notebook with Butterflies and Hearts; Sandy book 1
coll010,sihee_micac_and_suka_book1_the_start.pdf,"Sihee, Micac and Suka book 1 The Start","Stanier, Hemlock",An illustrated manuscript contained within Spiral Notebook with Butterflies and Hearts. ,Fiction;Children's Stories;Bears;Voyages and Travels;Orphaned Animals,application/pdf,eng,Owned by Hemlock Stanier,,,,manuscript;drawing,10.5x8,grey;blue;white;multi,paper;ink;graphite ,Spiral Notebook with Butterflies and Hearts
